artist	SONG	TITLE	ID
2SUNNY	ЛЮБОЛОВИ	2SUNNY - ЛЮБОЛОВИ	1
30 SECONDS TO MARS	DO OR DIE	30 SECONDS TO MARS - DO OR DIE	2
30 SECONDS TO MARS	UP IN THE AIR	30 SECONDS TO MARS - UP IN THE AIR	3
A GREAT BIG WORLD & Christina AGUILERA	SAY SOMETHING	A GREAT BIG WORLD & Christina AGUILERA - SAY SOMETHING	4
A JIGSAW	CROW COVERED TREE	A JIGSAW - CROW COVERED TREE	5
A JIGSAW	RED PONY	A JIGSAW - RED PONY	6
Aaron RUX	I'VE GOT A BOAT	Aaron RUX - I'VE GOT A BOAT	7
ABBA	CHIQUITITA	ABBA - CHIQUITITA	8
ABBA	DANCING QUEEN	ABBA - DANCING QUEEN	9
ABBA	DOES YOUR MOTHER KNOW	ABBA - DOES YOUR MOTHER KNOW	10
ABBA	ESTOY SONANDO	ABBA - ESTOY SONANDO	11
ABBA	FERNANDO	ABBA - FERNANDO	12
ABBA	GIMME! GIMME! GIMME!	ABBA - GIMME! GIMME! GIMME!	13
ABBA	HAPPY NEW YEAR	ABBA - HAPPY NEW YEAR	14
ABBA	I HAVE A DREAM	ABBA - I HAVE A DREAM	15
ABBA	KNOWING ME, KNOWING YOU	ABBA - KNOWING ME, KNOWING YOU	16
ABBA	LAY ALL YOUR LOVE ON ME	ABBA - LAY ALL YOUR LOVE ON ME	17
ABBA	MAMMA MIA	ABBA - MAMMA MIA	18
ABBA	MONEY, MONEY, MONEY	ABBA - MONEY, MONEY, MONEY	19
ABBA	ONE MAN, ONE WOMAN	ABBA - ONE MAN, ONE WOMAN	20
ABBA	ONE OF US	ABBA - ONE OF US	21
ABBA	PEOPLE NEED LOVE	ABBA - PEOPLE NEED LOVE	22
ABBA	RING, RING	ABBA - RING, RING	23
ABBA	SOS	ABBA - SOS	24
ABBA	SUPER TROUPER	ABBA - SUPER TROUPER	25
ABBA	TAKE A CHANCE ON ME	ABBA - TAKE A CHANCE ON ME	26
ABBA	THANK YOU FOR THE MUSIC	ABBA - THANK YOU FOR THE MUSIC	27
ABBA	THE NAME OF THE GAME	ABBA - THE NAME OF THE GAME	28
ABBA	THE WINNER TAKES IT ALL	ABBA - THE WINNER TAKES IT ALL	29
ABBA	VOULEZ-VOUS	ABBA - VOULEZ-VOUS	30
ABBA	WATERLOO	ABBA - WATERLOO	31
Abelardo Alfonso LOPEZ	CHAN-CHAN	Abelardo Alfonso LOPEZ - CHAN-CHAN	32
ADELE	HELLO	ADELE - HELLO	33
ADELE	SEND MY LOVE	ADELE - SEND MY LOVE	34
ADELE	TURNING TABLES	ADELE - TURNING TABLES	35
A-DESSA	ЖЕНЩИНА, Я НЕ ТАНЦУЮ	A-DESSA - ЖЕНЩИНА, Я НЕ ТАНЦУЮ	36
ADIL	NIKO ME NEMA	ADIL - NIKO ME NEMA	37
Adriano CELENTANO	A WOMAN IN LOVE	Adriano CELENTANO - A WOMAN IN LOVE	38
Adriano CELENTANO	AZZURRO	Adriano CELENTANO - AZZURRO	39
Adriano CELENTANO	C' E SEMPRE UN MOTIVO	Adriano CELENTANO - C' E SEMPRE UN MOTIVO	40
Adriano CELENTANO	CONFESSA	Adriano CELENTANO - CONFESSA	41
Adriano CELENTANO	DEUS	Adriano CELENTANO - DEUS	42
Adriano CELENTANO	FIORI	Adriano CELENTANO - FIORI	43
Adriano CELENTANO	I PASSI CHE FACCIAMO	Adriano CELENTANO - I PASSI CHE FACCIAMO	44
Adriano CELENTANO	IL CONFORMISTA	Adriano CELENTANO - IL CONFORMISTA	45
Adriano CELENTANO	IL RAGAZZO DELLA VIA GLUCK	Adriano CELENTANO - IL RAGAZZO DELLA VIA GLUCK	46
Adriano CELENTANO	IL TEMPO SE NE VA	Adriano CELENTANO - IL TEMPO SE NE VA	47
Adriano CELENTANO	JEALOUSY TANGO	Adriano CELENTANO - JEALOUSY TANGO	48
Adriano CELENTANO	L' EMOZIONE NON HO VOCE	Adriano CELENTANO - L' EMOZIONE NON HO VOCE	49
Adriano CELENTANO	L'ARCOBALENO	Adriano CELENTANO - L'ARCOBALENO	50
Adriano CELENTANO	LUNFARDIA	Adriano CELENTANO - LUNFARDIA	51
Adriano CELENTANO	MI FA MALE	Adriano CELENTANO - MI FA MALE	52
Adriano CELENTANO	MONDO IN MI 7	Adriano CELENTANO - MONDO IN MI 7	53
Adriano CELENTANO	NON SO PIU COSA FARE	Adriano CELENTANO - NON SO PIU COSA FARE	54
Adriano CELENTANO	PER SEMPRE	Adriano CELENTANO - PER SEMPRE	55
Adriano CELENTANO	PIU DI UN SOGNO	Adriano CELENTANO - PIU DI UN SOGNO	56
Adriano CELENTANO	PREGHERO	Adriano CELENTANO - PREGHERO	57
Adriano CELENTANO	PRISENCOLINENSINAINCIUSOL	Adriano CELENTANO - PRISENCOLINENSINAINCIUSOL	58
Adriano CELENTANO	QUAL E LA DIREZIONE	Adriano CELENTANO - QUAL E LA DIREZIONE	59
